"","KH_1KO_L7_trim_paired_alPEv3.BAM","KH_2WT_L2_trim_paired_alPEv3.BAM","KH_3KO_L5_trim_paired_alPEv3.BAM","KH_4WT_L3_trim_paired_alPEv3.BAM","KH_6WT_L6_trim_paired_alPEv3.BAM","KH10KO_L1_trim_paired_alPEv3.BAM","KH7WT_L4_trim_paired_alPEv3.BAM","KH9KO_L8_trim_paired_alPEv3.BAM"
"Copb2",2901.5,1804,3245.5,2523,2606.33,2380,2642.53,2917.67
"Mrps22",516,234,408,462,421,359,370,358
"Prr23a1",0,0,0,0,0,0,0,0
"Prr23a2",0,0,0,0,0,0,0,0
"Prr23a3",0,0,0,0,0,0,0,0
"Gm33700",0,0,0,0,0,0,0,0
"7420426K07Rik",0,0,0,0,0,0,0,0
"Gm33778",0,0,0,0,0,0,0,0
"Foxl2",0,0,0,1,0,0,0,1
"Faim",752,329,536,554,488.5,601,527.5,591.83
"Gm1123",16,23,15,13,10,23,14,18
"Pik3cb",262.5,130.5,254,156,129.5,119,127,190
"Cep70",445.4,143.8,370.3,331.1,350.9,206.1,331.9,352.7
"Faiml",0,0,0,0,0,0,0,0
"Esyt3",3.25,1.5,4,1,1,7,1,2
"Mras",22,3,4,3,2,4,2,6
"Nme9",11,3,13,10,4,6,2,4
"Armc8",1192,921,1522,1702,1360,987,1354,1471
"Dbr1",809.25,475,741,648,584,638,527,543
"A4gnt",0,0,0,0,0,0,0,0
"Dzip1l",0,0,0,0,1,0,0,1
"Cldn18",0,0,0,0,0,0,0,0
"Sox14",0,0,0,0,1,0,0,0
"Il20rb",175,89,84,84,80,111,86,105
"Nck1",801.5,504.62,878.75,867.5,826.12,595.5,752.5,761
"LOC108167700",40,22,101,101,76,36,90,76
"Slc35g2",66,24,40,70,76,62,71,46
"Stag1",2459.78,1741.17,2487.37,2562.53,2227.67,1772.17,2183.03,2270.73
"Pccb",604.5,510.5,599,672.5,584,562.5,645.5,595.5
"Msl2",2569,2334.5,3362.83,2873.17,2687.83,2007.5,2438.5,2671.5
"Ppp2r3a",196.2,89,160.33,190.33,133,86.1,142.12,156
"Ephb1",3.14,10,1.6,0.43,2,4.11,2.79,0.22
"Ky",0,1,0,0,0,0,0,0
"Cep63",981,776,751.5,1010,910,793,842,727.17
"Anapc13",480,207,312,255.5,329,379.5,336.5,301
"Amotl2",3,3,0,0,1,0,0,0
"Ryk",241,76,205,73,87,109,75,173
"Slco2a1",6,3,1.2,0.87,0.6,4.1,0.12,0.14
"Rab6b",8.33,2.5,1,7,3,13.5,6,1.61
"Srprb",506,272,572,657,514.25,510,511,575
"Trf",38,15,6,5,9,3,8,6
"1300017J02Rik",4.87,1.57,1.66,1.22,2.11,2.08,6.34,2.54
"Topbp1",4686.33,2454.33,5077.67,3788,3406.67,3340.92,3775.33,4804.67
"Cdv3",2223.37,1302.72,2067.41,1767.95,1585.23,1792.43,1513.62,2005.94
"Bfsp2",50.33,12,30.5,21,22,45,15,47
"Tmem108",222.1,246,292.45,360.17,314.43,245.63,359.32,188.45
"Nphp3",33,31,21,28,8,17,27,21
"Uba5",1041,832,872,960,1090,826,993,891
"Acad11",164.85,127.33,216,175,196,174.25,180.5,185.25
"Ackr4",0,0,0,0,0,0,0,0
"Dnajc13",1880.12,932.62,2549.76,1781.92,1798.84,1314.08,1833.42,2327.58
"Acpp",1159,1034,1804,2130.33,1909,924,1653,1400
"Cpne4",146.56,95.5,76.82,132.37,131.15,96.69,126.31,82.17
"Mrpl3",1063,675,1337,1105,1008,919,1144,1153
"Nudt16",515,329,439,519,560,483,568,471
"1700080E11Rik",0,0,0,0,0,0,0,0
"Nek11",6,4.7,4.17,13,5.12,5.36,3,3.24
"Aste1",302,185,314,315,332,252,352,335
"Atp2c1",1421.46,1203,1461.31,1629.5,1512.5,1129.33,1547.5,1407
"Gm5621",1187.99,639.89,1249.04,914.44,865.28,961.19,950.63,1070.74
"Pik3r4",983.5,670.5,1102.5,953,892.33,811,885,1041
"Col6a6",18.7,19.92,12.56,17.33,10.51,9.51,13.2,14.59
"Col6a5",0,0,0,0,0,0,0,0
"Col6a4",450.5,607,436.33,929,1027.4,264,855.2,373
"Glyctk",200,145,314,259,289,192,304,224
"Wdr82",3227.89,2054,4004,3303,3156.33,2728,3080,3492.14
"Ppm1m",1399,674,922,897,897,996,908,1006
"Twf2",2658,2024,2138,2612,2707,2346,2770,2136.17
"Tlr9",24,2,3,0,0,2,1,5
"Alas1",536.33,223,531,434,460,460.5,459,483
"Poc1a",212,83,147,95,96,150.25,104,133
"Dusp7",287.5,206.5,258,378.33,391,252,357,295
"Rpl29",684.8,351.75,516.02,450.46,447.9,540.87,472.9,476.58
"Acy1",313,163,250,211,211,231,239,249
"Abhd14a",95.33,48,87,63,58,60.5,78,66.17
"Abhd14b",13,3,5,7,0,3,5,6
"Pcbp4",157,34,81,44,46,115,62,106
"Gpr62",18.5,2.5,10.5,3,7.5,17,11.5,12
"Parp3",1301,658,834,974,952,1147,1104,981
"Rrp9",846,657,835,785,757,712,859,703
"Iqcf1",6,8,2,6,3,9,1,3
"Iqcf3",15,6,11.33,3,3,5,7,8
"Iqcf5",0,0,0,0,0,0,0,0
"Iqcf4",0,0,0,0,0,0,0,0
"Iqcf6",0,0,0,0,0,0,0,0
"Grm2",0,0,0,0,0,0,0,0
"Tex264",908,687,944,1034,991,798,1063,871
"Rad54l2",1027,619,1472.75,1189,1143,752.67,1057.2,1182.7
"Vprbp",1619.2,1266,1960.33,2102.5,1816.5,1318.45,1810.5,1717.5
"Rbm15b",419.5,301,639.5,522,494.5,437.5,474.5,551.5
"Manf",1662,897,1219,1075,1023,1240,1019,1188
"Dock3",13.88,7.43,9.2,12.6,8.65,9.72,16.75,9.82
"Mapkapk3",504,310,395,521,472.2,344,433,364
"Cish",82,134,80,138,134,123,127,79
"Hemk1",218,142,168,242,200,195,228,155
"6430571L13Rik",4,0,0,0,0,0,0,1
"Cacna2d2",84,55,86,98,70,52,91,62
"Tmem115",272,169,299,259,305,245,279,282
"Cyb561d2",236,143,184,170,154,186,224,203
"Nprl2",593,335,429,529,508.25,412,485,436
"Zmynd10",24,20,23,29,36,24,30,22
"Rassf1",1180,884,988,1129,1147,905,1160,936
"Tusc2",315.83,215,344.83,311.83,278,325.5,310.33,310.17
"Hyal2",80,57,73,54,81,60,67,66
"Hyal1",3,2,0,3,2,0,0,0
"Nat6",23,20,27,37,24,23,39,37
"Hyal3",11,3,10,17,14,18,9,15
"Ifrd2",803,508,725,726,761,649,753,625
"Lsmem2",76,51,65,136,104,66,115,71
"Sema3b",5,0,0,0,0,0,1,2
"Gnai2",9754,5186,8848.5,8396,8297.5,7630.5,8474,8179.5
"Slc38a3",2,0,0,2,0,0,0,1
"Gnat1",5,2,2,4,0,0.2,0,0.17
"Sema3f",12,14,13,7,8,9,4,5
"Rbm5",5936,4974,5872,7022,6479,5340,6147,5436
"Rbm6",2638.86,2114.38,2720.96,3381.99,3062.68,2399.92,2843.37,2544.04
"Mon1a",386,250,392,338,359.1,319,326,338
"Mst1r",0,2,3,1,2,2,1,0
"Actl11",0,0,0,0,0,0,0,0
"Camkv",7,7,5,6,1,7,3,5
"Traip",295,103.5,227,150.5,102.5,182,147.5,187.5
"Uba7",5810.29,2850,3992,3580,3457,4352,3785,4395
"Fam212a",29,27,20,25,20,13,20,21
"Cdhr4",54,51,30,50,51,60,54,34
"Ip6k1",3124.03,2246.22,3206.58,3981.42,3710.74,2653.44,3587.89,3182.61
"Gmppb",297,135,245,162,170,195,169,290
"Rnf123",4433,2238,3808,3508,3324,3610,3256,3622
"Amigo3",0,0,0,0,0,0,0,0
"Mst1",104,70,156,177,144,64,129,116
"Apeh",1733,1122,1653,1634,1566,1374,1690,1568
"Bsn",172.72,126.5,203,130.5,160.5,182,173,165
"Dag1",318.83,242.43,446.57,428,476.66,285.79,386.43,466.74
"Nicn1",36,38,34,28,38,22,38,42
"Amt",54.12,30,43.17,73,65,35,55,47.11
"Tcta",217,145,194,174,235,164,263,230
"Rhoa",4510.3,3357.78,4887.25,4418.45,4165.71,4329.01,4382.5,4433.31
"Gpx1",2090,1440,1572,1059,1224,1373.14,1415,1427
"Usp4",2903.97,2099.36,3019.22,3014.33,2964.69,2506.87,2986.62,2986.5
"1700102P08Rik",74,59,46,65,70,53,68,47
"Ccdc36",0,0,0.14,1,0,0,0,0
"BC048562",1,0,0,1,0.17,0,0,0
"Klhdc8b",91,56,56,77,60,77,75,63
"Ccdc71",593,393,671,599,712,598,658,677
"Lamb2",8,8,2,2,1,2,3,0
"Usp19",2910,2197,3564,3334,3203,2630,2974,3225
"Qars",3219.5,1861,3115.5,2733.5,2428,2556,2624,2883.5
"Qrich1",3417.5,2436,3122,3535,3187.33,2849.67,3261,3014.83
"Impdh2",1171,668,1157,917.5,820,994,843.5,964
"Ndufaf3",232,125,148,138,145,201,179,182
"Dalrd3",965.2,553,650,737,803,717,789,682
"Wdr6",882,497,1155,953,995,896,854,1079
"P4htm",198,110.2,110,126,136,144,157,108
"Arih2",1495.92,1162.67,1597,1797.25,1594.33,1154.58,1514.75,1433.83
"Slc25a20",757.4,418.8,618.42,552.22,608.2,559.1,574.41,590.6
"Prkar2a",452.5,258,716,342,382,323,354,674.75
"Ip6k2",618,506,544.25,663.75,607.25,580,587.75,577.75
"Nckipsd",129.25,71.75,91.25,93.75,110.25,89.75,100.5,97.25
"Celsr3",3.5,1.5,1,1.75,2.5,1,3,0.5
"Slc26a6",127.25,134.5,111.5,118,127.25,134.25,129.75,109.5
"Tmem89",0.5,2.5,1,0,0,1,0,0
"Uqcrc1",1044.95,642.25,988.83,918.9,936.75,857.85,961.6,934
"Col7a1",77,83,49,93,80,102,86,66
"Ucn2",5,0,1,7,1,5,4,1
"Pfkfb4",129,93,102.12,123.12,124,110.12,170,100
"Shisa5",28498.17,16779.5,28097,26378.7,27623.33,26776.17,28345.17,27665.75
"Trex1",338,106,115,84,91,114,96,119
"Atrip",559,399,579,631,603,428.5,657,561
"Tma7",1028.93,674.87,680.95,781.1,656.43,855.05,756.42,743.91
"Ccdc51",249,202,260,258,245,253,264,182
"Plxnb1",122,83,89,114,101,133,93,128
"Fbxw21",0,0,0,0,0,0,0.5,0.2
"Fbxw13",2,0,0,0,0,0,0,0
"Fbxw20",0,0,0,0,0,0,0,0
"Fbxw14",0,0,0,0,0,0,0,0
"Fbxw28",0,0,0,0,0,0,0,0
"Fbxw22",0,0,0,0,0,0,0,0
"Fbxw16",0,0,0,0,0,0,0,0
"Fbxw19",0,0,0,0,0,0,0,0
"Fbxw23",3.9,6.24,2.79,3.06,2.35,3.18,3.18,3.23
"Fbxw15",0,0,0,0,0,0,0,0
"Fbxw24",0,0,1.5,0,0,0,0.5,0
"Fbxw18",0,0,0,0,0,0,0,0
"Fbxw26",0.25,0,1,0,0,0,1.12,1
"Fbxw27",0,0,0,0,0,0,0,0
"Spink8",2,6,2,9,8,4,7,3
"Nme6",107,69,82,118,96,111,97,115
"Camp",19,2,0,2,0,1,0,1
"Cdc25a",760,342,795,751,678,719,644,751
"Map4",2989.23,1663.75,3813.13,3268,3157.29,2390.84,3023.79,3348.85
"Dhx30",1913.5,1449,1862.5,1903,1818,1674,1912,1815.7
"Smarcc1",1510.93,700.73,1929.74,1455.54,1481.71,1314.53,1507.8,1933.31
"Cspg5",9.47,1.33,9.83,16.7,7,8.7,6.14,7.94
"Elp6",305,243,273.2,340.85,287.35,315.83,306.45,262.8
"Scap",1647,1302,1700,1795,1717,1421.5,1785,1546
"Ptpn23",1066,587,724,918,819,839,772,710
"Ngp",41,12,2,1,0,1,1,5
"Klhl18",630.36,437.25,592,621.22,593.82,474,556.42,563.32
"Kif9",62.5,14,36,44,32,24,29,36
"Setd2",3383.33,2284,4647,3626,3275,2492,3106,3338
"Nradd",95,61,83,70,92,111,51,77
"Nbeal2",3933,2236,4614,3039,3270,3043,3173,3831
"Ccdc12",1310.67,687.5,851.33,750.33,812.17,1012.37,817.83,776.03
"Pth1r",3,3,0,3,1,1,2,2
"Myl3",0,0,0,0,0,0,0,0
"Prss42",0,0,0,0,0,0,0,0
"Prss44",0,0,0,0,0,0,0,0
"Prss43",0,0,0,0,0,0,0,0
"Prss45",0,0,0,0,0,0,0,0
"Prss46",0,0,0.14,0,0,0,0,0
"Prss50",2,7,3,4,2,3,3,3
"Tmie",53,31,61,61,61,66,49,56
"Als2cl",1195,990,1067,1407,1211.25,1484,1196,838
"Gm590",5,7,9,5,6,14,11,4
"Tdgf1",88,53,65.5,114.5,71,126.5,127.5,78
"Lrrc2",4.03,5.27,4.77,8.05,4.42,5,5.13,7.41
"Rtp3",3,1,1,1,0,1,1,0
"Ltf",22,18,1,4,0,1,0,2
"Ccrl2",185,46,16,5,8,13,4,14
"Lrrfip2",521.5,364.83,380,439.5,423,315.5,414,363
"Mlh1",1034,664,1058,1012,1087,783,1118,933
"Epm2aip1",824,641,1009,1399,1554,723,1567,1132
"Trank1",0,0,0,3.33,0.2,3,1,0
"Dclk3",0,0,0,0,0,0,2,1
"Stac",2.77,0.81,0.57,0.48,0.51,0.4,1.39,1.64
"Arpp21",14,15,7,28,14,8,23,9
"Pdcd6ip",4582.5,3692,6141,5477,5302,4170,4804.5,5360
"Clasp2",1339.5,964.8,1359.7,1273.3,1135.8,882.93,1291.44,1284.4
"Ubp1",696,517,725,889,830,475,929,722
"Fbxl2",68.38,29.45,30.72,28.14,20.87,39.16,32.73,29.76
"Susd5",4,0,0.5,3,1.5,1,2,3
"Gm29825",0,0,0,0,0,0,0.5,0.5
"4921528I07Rik",5.2,0.2,1.5,1,0.11,1.31,1.75,0.5
"Bcl2a1c",2,0,0,0,0,2,0,0.33
"Crtap",256.5,127,197.14,269,219.5,190,223,213.17
"Glb1",720,411,714.9,749,752.39,579.33,744.33,616
"Tmppe",0,0,0,0,0,0,0,0
"Ccr4",67,12.2,73,18,22.5,80,36,92
"Trim71",1,1,0,0.5,0,0,0,1
"Cnot10",1492.58,1163,1499,1658,1576.5,1200,1482,1498
"Dync1li1",1055,881,1113,1131,979,802,960,1085
"Cmtm6",1821,1228,2390.25,2138,2314,1597,1993,2221.33
"Cmtm7",648,207,388,241,220,388,283,367
"Cmtm8",2,0.25,0,1,1,0,1,0
"Gpd1l",992,1012,1421.5,1334,1330,809,1193,1204.12
"Osbpl10",25.07,18.89,21.47,30.2,14.27,12.42,17.45,9.67
"Rps27rt",0,0,0,0,0,0,0,0
"Stt3b",3184.92,2466.14,2878.14,3764.15,3157.33,2568.5,2861.31,2988.27
"Gm40587",0,0,0,0,0,0,0,0
"Gadl1",10122.95,5349,7297.66,6355.81,6268.53,8535.91,6365.03,6757.61
"Tgfbr2",3383,3013,4409,5677,5239,2546,4836,3842
"Rbms3",66.28,31.21,60.45,29.95,30.94,44.64,37.98,54.53
"Azi2",2234.5,1541.5,2748.5,2463,2387.5,1828.5,2224.5,2361.5
"Cmc1",591.8,311.45,606.89,452.5,498.67,436,487.84,487.29
"Eomes",3662,1557,6575,1742,2419,4163,2029,4256
"Golga4",2129.33,1592,2869,2721,2696,1907,2556.33,2688
"Itga9",458.56,314.28,375.45,390.7,343.64,395.94,307.94,304.84
"Ctdspl",50,14,33,20,33,31,19,34
"Vill",0,1,0,0,1,0,0,1
"Plcd1",50,19,23,16,12,27,18,19
"Dlec1",12,4,15,3,13,11,17,7
"Acaa1b",159.83,93.75,101.25,125.5,114.5,125,88.25,76
"Slc22a14",0,0,0,0,0,0,0,0
"Slc22a13",6,2.5,4.5,6.25,3.75,4,3,4.25
"Oxsr1",1606.29,1238.95,1783.14,1691,1644.14,1291.2,1590.81,1771.14
"Myd88",1501,682,1214,880,932,1154,917,1206
"Acaa1a",689.33,453.25,531.75,677,629,638.5,538.75,558.5
"Xylb",80,60,55,76.5,76,61,72,42
"Acvr2b",30,38,35,58,38,14,43,32
"Exog",328,224,320.5,445,349,286,340,321
"Scn5a",6,8,0,0,3,2.5,2,3
"Scn10a",0,0,0,0,1,0,0,0
"Scn11a",141,103,142,135,124,145,131.33,148
"Wdr48",1175,788,1334,1454,1477,887.22,1304,1168
"Gorasp1",43,64,31,57,71,55,74,54
"Ttc21a",3,3,2,2,2,4,1,0
"Csrnp1",1636,1354,904,832,627,630,617,584
"Xirp1",0,0,0,0,0,0,0,0
"Cx3cr1",58.75,17,49,2.25,3,10,6,22.43
"Ccr8",46,7,6,7,7,13,5,21
"Slc25a38",717,469,454,635,625,590,649,517
"Rpsa",14985.75,8969.12,11182.18,8616.19,8283.6,10277.8,8569.54,9023.85
"Mobp",0,0,0,0,0,0,0,0
"Myrip",4.5,13.28,2.5,0.58,1.38,3.48,1.83,1.08
"Eif1b",1187,721,862,913,873,928,899,788
"Entpd3",2,7,0,1,0,0,1,1
"Rpl14",7007.5,3473.33,3860.5,3622,3736.5,4736.92,3735,3498.33
"Ctnnb1",4674,3010,4851,5379,5361,4206,4900,4996
"Ulk4",69.08,22.53,46.21,50.34,45.45,30.64,46.01,45.37
"Trak1",1945.17,1438.88,1833.86,2344.58,2138.01,1460.25,2083.83,1754.66
"Cck",0,0,0,0,0,0,0,0
"Lyzl4",2,12,0,0,0,0,4,0
"Vipr1",1928,2202,2010.17,2872,2940,1366,2748,1750.5
"Sec22c",526,493,561,608,663,444,656,585
"Deb1",210,156,149,146,146,180,164,173
"Nktr",4412,3128,6022,5834,5731,3394,5897,5478.5
"Zfp651",18,13,2,10,6,20,2,12
"Klhl40",0,0,0,0,0,2,0,0
"Hhatl",0,0,0,0,0,0,0,1
"Ccdc13",1,1,1,0,0,0,0,1
"Higd1a",446.67,293.33,450.67,379.33,333.75,300.67,323.5,325
"Ackr2",13,4,5,10,8,4,10,3
"Cyp8b1",0,0,0,0,1,0,0,0
"Fam198a",6,3,6,2,5,3,2,9
"Pomgnt2",0,3,3,0,2,0,1,1
"Snrk",1499.5,1446.5,1950.42,2227.33,1985.33,1512.17,2014.83,1946.33
"Ano10",742.56,671,992.84,1209.33,1199.96,671.52,1298.39,985.31
"Abhd5",370.21,176,364.33,285.96,358,274,359.2,360.22
"Topaz1",1,0,1,0,0,1,0,0
"Tcaim",417,263,420,459,409,334,466,391
"Gm35549",9,2,2,7,6,10,15,12
"Zfp445",3835.1,2706,4268.46,4816.98,4778.15,3138.53,4750.24,4178.25
"Zkscan7",276,205,393,416,411,289,382,394
"Zfp105",7,0,1,0,0,1,0,3
"1110059G10Rik",457,218,341,397,369,320,409,343.33
"Kif15",1338,228,1071,330,337,648,376,1009
"Tmem42",402,271,317,373,380,330,370,284
"Tgm4",147,102,91,121,103,81,125,84
"Zdhhc3",1785,1005,2332,1628,1645,1481,1619.2,2043
"Exosc7",924,615,1003,957,988,809,1013,895
"Clec3b",22,20,5,9,10,16,14,8
"Cdcp1",1.45,6.5,2.41,9.32,0.4,2.6,4.15,0.91
"Tmem158",19,20,11,9,10,26,10,15
"Lars2",1851.02,2175.38,1670.25,2460,1895.12,1427.83,2172.5,1791.6
"Limd1",2036.73,1360,2661,2263,2271.87,1803.67,2232.31,2281.48
"Sacm1l",1609,1161.4,1865,1692,1599,1098,1387.75,1614
"Slc6a20b",10.17,5,7,11.5,7,4.83,8.83,3
"Slc6a20a",13.5,0,0,7,0,4,5,0.33
"Lztfl1",335.33,327.17,365.83,566.17,493.92,361.33,458,402.67
"Ccr9",1286,1765,1495,4222.5,4164,1978,4014.5,2218
"Fyco1",1427,1341,2001,2440,2253,1193,2297,1838
"Cxcr6",0,0,0,0,0,0,0,0
"Xcr1",94,63,8,34,30,30,37,36
"Ccr1",70,8,1,2,0,1,1,1
"Ccr1l1",0,0,0,0,1,0,0,0
"Ccr3",5,2,1,0,0,0,1,1
"Ccr2",944.5,176,1820,78.5,256,498,132.5,989
"Ccr5",1164.5,139,1887,144.5,265,675,226.5,1205
"Gm39469",115.54,115.88,198.72,183.92,224.5,101.53,214.7,170.2
"2010315B03Rik",348.83,240,409.25,438,409.28,254.75,386.25,391
"Nlrp4g",0,0,0,0,0,0,0,0
"LOC108167694",16.75,8.5,13.75,15,17.75,14,14.25,8.75
"Gm20783",0,0.5,0,0.2,1,0.5,1,0
"LOC108167320",88,57.5,42.5,63.5,63,82.5,50,43
"Ppp2r3d",167.75,131,82.33,132.75,105.5,151.5,99.5,70
"Gm30674",0,0,1.4,2,0.87,0.87,1.33,0.33
"H60c",49,67,62.5,72.5,92,31.5,54.5,52
"Ppp1r14c",1.75,3.5,2.38,2,1,6,3.17,1.57
"Iyd",0,1,0,0,0,0,0,0
"Plekhg1",24.56,11.78,8.92,12.32,7.7,8.06,6.61,8.98
"Mthfd1l",2208,1240,2498.64,2166.5,1875,1778,1996,2163.7
"Akap12",254.75,176.5,307,304,252,293.2,281.5,229
"Zbtb2",584,449.5,768.5,734.5,644,590,583,694
"Rmnd1",825.5,648.5,791,1078.2,963,736,975,753
"Armt1",506.5,311.2,605.4,446.5,480,457,579.5,573.5
"Ccdc170",4.47,0,6.1,16.42,6.22,7.16,3.56,6.32
"Esr1",10.89,3.75,5.41,7.98,4.3,8.29,8.85,4.66
"Syne1",2132.71,1921.16,2269.59,3088.39,2639.46,1486.06,2750.99,2127.42
"Myct1",0,11,0,0,0,0,0,0
"Vip",0,0,0,0,0,0,0,0
"Gm40595",335.7,141.79,217.19,217.56,194.65,201.26,194.76,281.57
"Fbxo5",828,337,658.5,505,441.5,527,490,595.5
"Mtrf1l",473.04,341.58,448.26,466.44,489.35,409.9,455.69,384.58
"Rgs17",19.12,14,13,11.11,8.5,14.64,6.94,14.64
"Gm3213",0.33,0,0,0.33,1.58,1.33,0.33,0.92
"Oprm1",170.28,72.33,35.91,90.1,42.33,135.97,44.67,37
"Ipcef1",885.63,415.7,470.09,379.8,368.55,566.24,352.25,408.62
"Cnksr3",89,101,113,115,117.5,88,115,79
"Ulbp1",2571.24,1445.08,1851.11,1575.01,1596.73,1787.65,1717.72,1686.09
"Lrp11",6.83,10.25,14.25,14.72,11.67,6.75,11.4,9.5
"Pcmt1",578.9,457.26,577.53,665.23,611.12,498.2,585.71,568.38
"Nup43",0,0,0,0,0,0,0,0
"Lats1",683.75,579.75,852.75,862,764.35,510.25,725,757.5
"Katna1",623.67,327.58,535.92,585.25,545.42,514.4,514.91,536.42
"Ginm1",226.25,154.75,209.75,224.25,216,156.5,219.25,167.25
"Ppil4",1632,1311,1946.21,2004.2,1961.41,1553.22,1743.2,1663.34
"Zc3h12d",2088,579,1706,1068,947,1406.5,956.5,1745
"Tab2",3886.5,2646.5,3966.5,3952,3445.5,2898,3416.5,3398
"Ust",331.28,211.22,388.04,344.78,298.67,174.76,220.84,258.65
"Gm40600",453.5,179.71,202.48,282.48,244.69,305.69,270.23,388.87
"Sash1",42,16,2.6,0.5,1,4.4,1.33,4
"Samd5",2,0,0.67,0.5,2,1,1.82,1
"Stxbp5",1182.4,767.74,1429.67,1236.73,1066.5,770.77,1144.76,1208.1
"Adgb",11.92,3.34,3.03,1.99,4.41,3.91,1.82,3.92
"Rab32",310,123,114,82,86,110,87,124
"Grm1",1,0.5,3,1.08,0.29,0.25,0.2,0
"Shprh",920,855,1410.5,1597.67,1431.03,691,1437.17,1393
"Fbxo30",154,137,125,182,115,96,131,125
"Epm2a",15,14,22.14,29.34,11.25,1.38,18,17
"Utrn",6071.72,4770.19,7916.14,7934.98,7436.2,4788.97,6828.24,7271.41
"Stx11",513,46,179,21,19,202.5,24,150
"Sf3b5",802,443,539,494,510,646,491,513
"Plagl1",77,6,32,25,11,67,30,83
"Zc2hc1b",2,0,0,0,3,0,2,0
"Ltv1",1259,944,1188,1312,1231,1180,1406,1184
"Phactr2",285,113,190,129.5,94,131.17,137,179
"Fuca2",716,325,646,452,480,512,575,607
"Pex3",621.5,406.5,592.5,634.5,658,477.5,591.5,575
"Adat2",159,55,161,97,124,106,140,146
"Aig1",216,90,146.5,134.87,129,187,127,158.5
"Hivep2",3438.73,1876,3978.5,2939.14,2614.17,2815.98,2533.33,3261
"Adgrg6",8866.71,4994.36,6764.55,5525.3,5749.23,6287.42,5952.75,5777.14
"Vta1",1218.77,775.73,1096.94,1260.57,1125.75,956.82,1036.94,1027.19
"Gje1",0,0,0,0,0,0,0,0
"Nmbr",0,0,0,0,0,0,0,0
"Cited2",1084,741,794,737,609,707,495,448
"Txlnb",31.14,16,30.5,14.5,15,18,14.45,29.5
"Heca",3151,2768,4290.5,5017.53,4384,2407.2,4044.75,3661.33
"Abracl",2925.5,1502.5,1822,1834.5,1808.5,2243.5,1951.5,1796.5
"Reps1",2051.87,1158.5,1840.81,1950.97,1571.34,1440.46,1550.13,1595.32
"Ect2l",34.33,12,13.39,33,16.33,17,21.36,17.35
"Ccdc28a",536.42,362.32,571.56,548.14,614,460.32,518.32,525.72
"Nhsl1",64,49,47,91,86.5,52,120.5,53.5
"Hebp2",15,2,1,0,0,3,0,1
"Arfgef3",34.02,2.33,21.92,2.25,4.1,6.58,5.25,21.5
"Gm4922",0,0,0,0,0,0,0,0
"Perp",30,12,24,10,7,12,3,5
"Tnfaip3",16163,12932,12053.25,9733,4908,5616,2279,3624
"Olig3",8,5,4,6,0,3,5,2
"Ifngr1",4612,2344,6282,3756,3947,3249,2977.5,4964.64
"Il22ra2",0,0,2,0,0,0,0,0
"Il20ra",10.9,0,6.59,1.67,1.45,0.89,2.67,1.44
"Slc35d3",19,0,3,1,2,11,2,4
"Pex7",460,323,602,667,540,332,547,464
"Map3k5",1518.47,407.53,1125.67,553.23,564.89,1122.5,533.62,1201.57
"Map7",135.14,54,70,105,63,105,113,96
"Rpl32l",0,0,0,0,0,0,0,0
"Bclaf1",6619.5,4700.5,6893.5,7526.5,6816.5,4984.5,6990.5,6396
"Mtfr2",210,58.33,148,66.5,63.7,119.5,63.5,136.9
"Pde7b",40,8,6,10,9,9.5,10.5,13.5
"Ahi1",454,363.4,431,424,373,420,390,469
"Myb",2087,1213,2616,1503,1432,1603,1481,1548
"Hbs1l",3070.5,2344.83,3225.54,3222.5,2837.67,2386.83,2919.54,2800.5
"Aldh8a1",1,1,1,5,3,1,0,0
"Sgk1",5111.25,4236.38,4717.33,4661.5,5014.25,3573.5,5502.75,4567.5
"4930444G20Rik",0,0.33,0,0,0,0.12,1.12,0.25
"E030030I06Rik",1638.9,1198.33,1557,2316.03,2275.94,1502.74,1989.15,1674.49
"Raet1e",18.5,19,26.67,49,38,9.6,18,9.5
"H60b",671,681,737,879.08,880.92,406.5,587.75,426.25
"Raet1d",0,0,0,0,0,0,0,0
"Slc2a12",6.14,5.98,12.16,7.49,4.16,2.51,1.88,5.45
"Tbpl1",1244,857,1354.5,1207.2,1179,946,1200,1163
"Tcf21",0,0,0,0,0,0,0,0
"Eya4",2.5,0,0,2.75,1,0,0.25,1
"Rps12",2545.71,1687.27,2061.95,2131.23,1929.25,1931.46,2115.52,1603.52
"Slc18b1",2.33,1.25,1.25,1,0,0,0,1
"Vnn3",7.29,1.58,8.2,4.25,5.72,3.45,5.1,7.79
"Vnn1",0,0,0,1,0,1,2,0
"Taar1",0,0,0,0,0,0,0,0
"Taar2",0,0,0,0,0,0,0,0
"Taar3",0,0,0,0,0,0,0,0
"Taar4",0,0,0,0,0,0,0,0
"Taar5",0,0,0,0,0,0,0,0
"Taar6",0,0,0,0,0,0,0,0
"Taar7a",0,0,0,0,0,0,0,0
"Taar7b",0,0,0,0,0,0,0,0
"Taar7d",0,0,0,0,0,0,0,0
"Taar7e",0,0,0,0,0,0,0,0
"Taar7f",0,0,0,0,0,0,0,0
"Taar8a",0,0,0,0,0,0,0,0
"Taar8b",0,0,0,0,0,0,0,0
"Taar8c",0,0,0,0,0,0,0,0
"Taar9",0,0,0,0,0,0,0,0
"Stx7",776,356,405.2,457.12,437.14,487.2,396.38,503.1
