"","KH_1KO_L7_trim_paired_alPEv3.BAM","KH_2WT_L2_trim_paired_alPEv3.BAM","KH_3KO_L5_trim_paired_alPEv3.BAM","KH_4WT_L3_trim_paired_alPEv3.BAM","KH_6WT_L6_trim_paired_alPEv3.BAM","KH10KO_L1_trim_paired_alPEv3.BAM","KH7WT_L4_trim_paired_alPEv3.BAM","KH9KO_L8_trim_paired_alPEv3.BAM"
"Olfr124_1",0,0,0,0,0,0,0,0
"Olfr125_1",0,0,0,0,0,0,0,0
"Olfr126_1",0,0,0,0,0,0,0,0
"Olfr127_1",0,0,0,0,0,0,0,0
"Magea4_1",0,0,0,0,0,0,0,0
"Gabre_1",0,1.5,1,0,1.5,2,1,1.5
"Xlr3c_1",4.36,0.4,10.44,12.45,21.88,16.06,6.8,11.88
"Xlr4c_1",712.63,537.84,507.43,699.83,666.81,524.6,676.12,538.88
"Xlr4b_1",702.2,560.78,603.52,825.56,773.51,528.58,814.75,642.36
"F8a_1",70.5,63,75,73.5,70,67.5,59,46.5
"Xlr3b_1",8.32,2.3,6.39,12.17,17.55,13.28,10.85,13.4
"Slc16a2_1",353.05,190.36,598.21,167.1,158.6,331.38,159.2,237.11
"Zcchc13_1",0,0,0,0,0,0,0,0
"Olfr1532-ps1_1",0,0,0,0,0,0,0,0
"Olfr707_1",0,0,0,0,0,0,0,0
"Acsl3_1",25.25,17,13.25,10,12.75,8,12.5,11.75
"Utp14b_1",0,0,0,0,0,0,0,0
"Mogat1_1",0.5,3,1,3.5,2,1.5,1,0.5
"Farsb_1",497,367.9,523.67,531.25,486.5,436.78,481.75,483.67
"Sgpp2_1",2.5,0,3,2,1.5,1.5,0,1.5
"Sox13_1",1,2.5,1.5,3.75,6,4.08,1.75,0.5
"Etnk2_1",0,0,0,0,0,0,0,0
"Ren1_1",0,0,0,0,0,0,0,0
"Ren2",0,0,0,0,0,0,0,0
"Kiss1_1",0,0,0,0,0,0,0,0
"Golt1a_1",0,0,0,0,0.5,0,0,0
"Plekha6_1",39,41.5,44.42,76.75,71.75,26.5,51,32.33
"Ifi202b_1",25.32,0.67,2.48,0.1,0.25,5.25,0.5,4.8
"Ifi203_1",2825.51,1653.96,3596.48,3317.11,3151.31,2034.51,2810.67,3126.22
"Ifi204_1",285.7,184.84,169.99,210.38,197.16,205.49,221.93,171.93
"AI607873_1",42.91,6.09,7.96,8.16,9.06,9.53,8.61,6.8
"Oog2_1",0,0,0,0,0,0,0,0
"C87977_1",0,0,0,0,0,0,0,0
"Pramel5_1",0,0,0.5,0,0,0,0,0
"Gm13128_1",0,0,0,0,0,0,0,0
"Kl_1",0,0,0,0.5,0,0,0.33,0.33
"Stard13_1",3.1,1.94,3.91,4.21,1.67,3.91,2,1.88
"Pcm1_1",652.5,468.5,562.5,750.86,612,527.5,562.33,585.5
"Asah1_1",274.5,112.25,162,132.5,140.75,96.5,136,160
"Frg1_1",576.42,443,550.67,475.33,482.42,493.67,501.33,466.75
"Large_1",15,8.25,11,9.14,8.1,7.35,10.12,12
"Olfr314_1",0,0,0,0,0,0,0,0
"Olfr315_1",0,0,0,0,0,0,0,0
"Olfr316_1",0,0,0,0,0,0,0,0
"Olfr317_1",0,0,0,0,0,0,0,0
"Olfr318_1",0,0,0,0,0,0,0,0
"Olfr319_1",0.17,0,0,0,0,0,0,0
"Olfr320_1",0,0,0,0,0,0,0,0
"Olfr322_1",0,0,0,0,0,0,0,0
"Trim58_1",0,0,0,0.5,0,0,0,0
"Olfr323_1",0,0,0,0,0,0,0,0
"Ipo11_1",282.3,201.73,284.79,311.46,247,173.32,242.04,240.64
"Enthd1_1",0,0,3.75,1.5,0.75,1,0.75,0.5
"Grap2_1",4259.25,3798.17,5001.5,6455.25,5985,3663.25,6060,4562.75
"Fam83f_1",1,0,0,0,0,0,0,0
"Ccdc188_2",2.5,4.25,2.1,7.1,5,2.25,2.75,4
"Zdhhc8_3",369.37,261.87,383.28,431.31,409.54,390.96,387.02,362.42
"Ranbp1_2",534.11,255.68,415.42,341.08,340.1,448.71,355.74,398.94
"Trmt2a_2",476.44,322.11,362.99,404.88,380.66,423.55,375.55,371.55
"Dgcr8_2",321.43,242.25,356.13,344,350.56,307.99,338.62,368.83
"Tango2_2",205.44,146.08,202.58,218.36,218.16,176.89,226.95,196.66
"Arvcf_2",8.21,9.08,7.23,13.33,9.36,6.89,16.46,13.67
"Comt_2",140.7,64.75,101.4,79.64,75.07,106.43,96.11,113.28
"Txnrd2_2",10.33,2.9,6.53,9.27,7.75,7.95,9.03,6.75
"Gnb1l_1",60.78,40.11,42.11,57.72,49,48.11,71.22,38.22
"Tbx1_1",1,0,0,0.33,0.56,0,0.33,0
"Gp1bb_1",0,0.5,0,0,0,0,0,0
"Sept5_1",4,3,1.5,0.75,0,1.5,1,0.5
"Hira_2",596.72,398.19,559.31,535.23,496.13,501.31,482.32,492.52
"Sim2_1",0,0,0,0.5,0,0,0,0
"Hlcs_1",720.87,374.14,652.22,624.81,586.7,598.3,543.51,593.89
"LOC102641028",3.5,0.5,1.5,3,0,1,1.5,0.5
"Ripply3_1",0,0,0,0,0,0,0,1
"Pigp_1",106.83,97.45,93.42,144.33,129.25,103.92,148.25,105.33
"Ttc3_1",786.83,765.5,1078.25,1355,1267.33,796.25,1257.58,1026
"Dscr3_1",376.17,276,375.5,361.75,331.25,297.25,371.75,360.75
"Dyrk1a_1",1132.11,879.13,1284.05,1432.22,1125.39,853.35,1071.13,1024.09
"Kcnj6_1",4.25,0,1.5,0.5,0.5,0,0,0.5
"Kcnj15_1",3,5,4.75,3,2.75,2.5,3.5,2
"Erg_1",4.67,2.03,1.5,0.5,0.58,1.15,1.75,0.75
"Ets2_1",430.5,301.25,423.75,506.75,414.5,287.25,374.25,362.5
"Psmg1_1",221.5,166.25,193,212.25,200.75,208.75,222.5,193.25
"Brwd1_1",1027.8,960.95,1323.6,1547.85,1440.75,824,1489.8,1215.25
"Hmgn1_1",1435.69,883.99,1135.85,1051.52,982.36,1330.98,1058.26,1176.9
"Wrb_1",107.58,79.25,112,123.25,111.17,99.42,123.58,95.25
"Lca5l_1",9.31,3.72,2.22,4.33,2.61,2.94,4.14,1.99
"Sh3bgr_1",0,0.5,0.5,0,0,0.5,1.75,0
"Dscam_1",3.5,0,0.5,0,0.4,0.5,0.2,0.5
"Olfr95_1",0,0,0,0,0,0,0,0
"Olfr96_2",0,0,0,0,0,0,0,0
"Olfr109_1",0,0,0,0,0,0,0,0
"H2-M2_1",37.28,20.43,3.92,4.27,3.17,4.44,5.42,1.42
"Olfr110_1",0.25,0,0,0,0,0,0,0
"Olfr111_1",0,0,0,0,0,0,0,0
"Olfr112_1",0.22,0.22,0.24,0.22,0.32,0,0.67,0.83
"Olfr113_1",0,0,0,0,0,0,0,0
"Olfr114_1",0,0,0,0,0,0,0,0
"Olfr115_1",0,0,0,0,0,0,0,0
"Olfr116_1",0,0,0,0,0,0,0,0
"Olfr117_1",0,0,0,0,0,0,0,0
"Olfr118_1",0,0,0,0,0,0,0,0
"Olfr119_1",0,0,0,0,0,0,0,0
"Olfr120_1",0,0,0,0,0,0,0,0
"Tenm1_1",1.38,0.57,0.84,1.25,1.03,1.54,1.07,1.13
"Zfp185_1",0.5,0.9,1,0.5,1.5,0,0,1.35
"Pnma5_1",0,0,0,0,0,0,0,0
"Pnma3_1",0,0,0,0,0,0,0.5,0
"Xlr4a_1",574.26,428.98,395.26,577.21,595.45,416.06,566.16,482.88
"Xlr3a_1",5.01,0.5,6.81,14.98,12.66,10.13,5.86,12.1
"Xlr5a_1",0.52,0,0.7,0.69,0.72,0,0.58,0.5
"LOC100862473",340.45,222.1,373.28,346.21,346.34,253.26,286,339.76
"LOC100044068",57.18,5.63,5.82,2.17,0.98,8.4,1.27,11.11
"LOC102641031",1983.37,1229.84,3133.68,2669.85,2559.05,1382.31,2160.48,2561.39
"Ifi202b_2",30.65,0.87,3.48,0,0.25,5.65,0,7.41
"Ifi203_2",2832.71,1656.86,3609.21,3325.51,3157.88,2039.19,2812.62,3139.61
"Ifi204_2",287.1,187.24,172.79,211.38,198.56,208.39,222.33,170.22
"AI607873_2",41.91,6.09,7.96,8.16,9.23,9.53,8.61,6.8
"Olfr432_1",0,0,0,0,0.5,0,0,0
"Olfr433_1",1.5,0,0,0.5,0,0,0,0
