"","CD4Tfh_1","CD4Tfh_2","CD8Tfc_1","CD8Tfc_2"
"Ptma",8658.91,6850.61,8044.66,5875.43
"Pde6d",756.2,796,478,493.3
"Cops7b",490,528,331,387
"Nppc",4,4,6,12
"Dis3l2",15458.33,12156.01,10936.83,11062.75
"Alppl2",0,0,0,0
"Alpi",0,0.5,0,0
"Akp3",0,0,0,0
"Ecel1",126,111,45,43
"Prss56",0,0,1,1
"Chrnd",0,2,0,0
"Chrng",0,0,0,0
"Eif4e2",2482,2958,2521,2657
"Efhd1",1,0,0.33,0
"Gigyf2",1904.25,2575,1917.48,2217
"Kcnj13",0,0,0,0
"3110079O15Rik",0,0,0,0
"Ngef",31.73,26.85,26.05,17.26
"Neu2",0,0,0,0
"Inpp5d",3004,4333,3214.33,3501
"Atg16l1",1327,1936,1479,1640
"Sag",59.67,73.82,56.54,58.28
"Dgkd",3148,5167,4104,5191
"Usp40",337,508,348,345
"Ugt1a10",0,0,0,0
"Ugt1a9",0,0,0,0
"Ugt1a7c",0,0,0,0
"Ugt1a6b",0,0,0,0
"Ugt1a6a",0,0,0,0
"Ugt1a5",0,0,0,0
"Ugt1a2",0,0,0,0
"Dnajb3",0,0,0,0
"Ugt1a1",0,0,0,0
"Mroh2a",26,50,38,27
"Hjurp",3744.02,4819.88,3463.12,2923.5
"Trpm8",0.11,1.22,0.57,1.57
"Spp2",0,1,0,0
"Glrp1",0,0,3,3
"Arl4c",2013,2685,4058,4818
"Sh3bp4",70.43,60.02,51.66,73.18
"Agap1",6.25,7,17.5,5.25
"Gbx2",0,0,0,0
"LOC102637806",0,0,0,1
"Asb18",0.33,0,0,0
"Iqca",0,0.22,0,0
"Ackr3",0,0,4,0
"Cops8",1648,2187,1676,1879
"Col6a3",5,0,0,0
"Mlph",0,0,0,0
"Prlh",0,0,0,0
"Rab17",0,0,3,0
"Lrrfip1",7534,9365.5,5001,6027
"Rbm44",5,9,6,4
"Ramp1",1485,1395,286,267
"Ube2f",931.5,988.17,746.33,845.08
"Scly",1005,1395,979,1108
"Espnl",0,0,2,2
"Klhl30",0,9,0,2
"Fam132b",15,24,37,27
"Ilkap",2177.25,2753.58,2161.75,2385.47
"Hes6",738,854,786,985
"Per2",229,328,158,127.25
"Traf3ip1",245,319,465,498
"Asb1",383,595,394,488
"Twist2",694,779,414,454
"Hdac4",1323,1980.5,1606,2046.17
"Ndufa10",2230.5,2343,2287.5,2409.5
"Olfr1416",0,0,0,0
"Olfr1415",0,0,0,0
"Olfr1414",0,0,0,0
"Olfr1413",0,0,0,0
"Olfr1412",0,0,0,0
"Olfr1411",0,0,0,0
"Olfr1410",0,0,0,0
"Olfr12",0,0,0,0
"Myeov2",1691.17,1006.5,841.5,859
"Otos",6,6,8,4
"Gpc1",146.2,136,91,65
"Ankmy1",8,13,9.5,11
"Dusp28",101,130,106,117
"Rnpepl1",1742,2530,1707,2022
"Capn10",201,279,204,184
"Gpr35",11.5,28,15,3
"Aqp12",0,0,0,0
"Kif1a",0,0,0,0
"Agxt",0,0,0,0
"2310007B03Rik",0,0,0,0
"Crocc2",1,0.17,0.43,0
"Sned1",11,20,10,4
"Mterf4",251,320,189,192
"Pask",263,187,255,157
"Ppp1r7",1209,1303,989,1106
"Ano7",12,16,4,5
"Hdlbp",5207.18,5804,4858.37,5086.69
"Sept2",2339.75,2144.42,1904.42,1842.17
"Farp2",354,465.2,162.5,188.5
"Stk25",1954,2765,1729,2007
"Bok",1,2,1,1
"Thap4",567,670.12,527,613
"Atg4b",1254.7,1528.75,1162.5,1193
"Dtymk",1581,1644,1403,1267
"Ing5",604.33,725,528,538
"D2hgdh",228.83,318.16,237.37,274.5
"Gal3st2",2,1.67,1.2,7.33
"Gm9994",87.5,85.5,54.33,87.67
"Gm7889",50.92,66.83,61.08,58.42
"Gm6086",6.33,7.33,2.83,3.83
"Neu4",9,23,1,5
"Pdcd1",6172,6093,2338,2220
"Fam174a",471,413,240,312
"St8sia4",2861,2331,1275,1335
"Slco4c1",0,0,7,2
"Slco6c1",0,0,1.25,0
"Gm7133",2.12,5.31,5.31,2.95
"Gm7135",1,1.64,0.12,1
"D1Ertd622e",624.5,545,469.5,439
"Ppip5k2",2631.5,2811,1864.1,2314
"Gin1",431.98,526.33,383.56,417.07
"Pam",6874.53,5652.1,4926.67,4828.25
"Slco6d1",43.83,85.48,73.08,56.42
"Cntnap5b",760.34,608.94,483.92,392
"Cdh20",2,2.12,6.5,3.71
"Rnf152",0,0,3,0
"Pign",1628.37,1560.12,1132.88,1272.34
"2310035C23Rik",2102.56,2739.87,2036.16,2307.48
"Tnfrsf11a",4,5.5,5,5.57
"Gm7160",69,56,44,72
"Zcchc2",1913,2579,2088,2252
"Phlpp1",761.25,1010.39,614.79,663.25
"Bcl2",2057,2572,1691,1664
"Kdsr",550.37,755.63,480.02,636.57
"Vps4b",2615.5,2759.5,1737.5,2016
"Serpinb5",7,4,3,9
"Serpinb12",0.43,0,0,0.29
"Serpinb13",0,0,0,0
"Serpinb3a",0,0,0,0
"Serpinb3d",0,0,0,0
"Serpinb3b",0,0,0,3
"Serpinb3c",0,0,0,0
"Serpinb11",0,0,0,0
"Serpinb7",0,0,0,0
"Serpinb2",0,1,1,0
"Serpinb10",3.5,0.5,6.5,0
"Serpinb8",0,0,0,0
"Cdh7",0,0.17,0.14,0.1
"Cdh19",1.89,3.05,2.44,2.9
"Dsel",350,476,150,216
"Cntnap5a",5.35,15.12,5.58,6.69
"LOC108167601",0,0,0,0
"B020011L13Rik",0.33,2.11,1,0
"Tsn",2865,2952,2088,2257
"Nifk",1502,1263,1071,1100
"Clasp1",1130,1561.03,1387.4,1323
"Tfcp2l1",12.2,20,30.2,21.8
"Gli2",0,0,1,0
"Inhbb",0,0,0,0
"Ralb",288,344,192,222
"Tmem185b",504,566,342,392
"Epb41l5",30.22,43,23.22,44
"Ptpn4",1122.34,1084.52,917.84,1077.45
"Tmem177",101,142,77,86
"Cfap221",0.37,0.2,0.6,0.2
"Sctr",0.25,1,0,0.11
"Tmem37",2,7,19,23
"Dbi",1712,1147.5,1249,1133
"3110009E18Rik",153.73,218,161.57,193.53
"Steap3",25,10,70,27
"C1ql2",0,0,0,0
"Marco",1,0,8,0
"En1",0,0,0,0
"Insig2",453,571,296,289
"LOC108167603",0,0,0,0
"Ccdc93",803.33,1236.83,822.83,1036.5
"Htr5b",10,3,4,5.5
"Ddx18",843.08,953.62,739.17,750.17
"Dpp10",5.49,8.45,5.51,7.16
"Actr3",13599.03,14097.71,11392.58,11440
"Slc35f5",45,79,42,39
"Gpr39",0.24,1.56,0,0.24
"Lypd1",2,0,2,0
"Nckap5",7.98,5.41,3.72,2.78
"Mgat5",5488.11,4369.91,3676.24,3568.58
"Tmem163",42.56,34.97,79.96,68.06
"Acmsd",30,19,14,26
"Ccnt2",1816,2652,1598,1853.5
"Map3k19",4,6,9.5,8
"Rab3gap1",2280.24,2678.48,1711.79,1813.37
"Zranb3",10617.54,9818.84,10227.14,9499.94
"R3hdm1",2072.12,2913.07,2259.15,2505.08
"Ubxn4",3338.5,4080.61,2280,2543
"Lct",0,2,2,0
"Mcm6",5285.5,4557.5,5036.5,4044.5
"Dars",3706,3349,2146,2309
"Cxcr4",3751,4403,2022.5,1666
"Thsd7b",7130.2,3890.65,3483.79,3564.35
"Cd55b",3.99,2.54,7.71,9.24
"Cd55",88.35,159.01,272.96,326.27
"Zp3r",0.35,0,0,0
"C4bp",0,0.25,0,0
"Pfkfb2",558,796,480,632
"Yod1",0,0,0,0
"AA986860",5,12,17,15
"Fcamr",8,5,8,4
"Pigr",3,4,8,1
"Fcmr",10,3,101,4
"Il24",0,0,0,0
"Il20",1,0,0,0
